,price,amount
0,59616.83,7143191.237
1,58996.0,5856677.4
2,59143.0,5049363.800000001
3,60760.0,4984366.0
4,60270.0,3722902.5
5,60495.4,3698985.0599999996
6,60446.4,3698764.56
7,60080.762,3601167.3060000003
8,58996.0,3582201.0
9,59897.6,3580654.08
10,59094.0,3544976.7
11,60348.4,3478900.52
12,60146.128,3195416.4839999997
13,60270.0,3085270.5
14,60270.0,3071740.5
15,60172.0,2772578.4
16,60172.0,2695091.6
17,60172.0,2620490.6
18,60172.0,2511812.6
19,59780.0,2509906.0
20,58996.0,2497276.5999999996
21,59740.799999999996,2468819.04
22,60306.26,2396250.78
23,60270.0,2293027.5
24,59740.799999999996,2266309.92
25,60301.948,2234064.1082
26,60471.782,2129840.8444
27,60466.0,2100021.2
28,60418.568,2097880.6448
29,60244.71599999999,2035779.6072
30,60191.208,2033787.2148
31,60534.6,2018520.0599999998
32,60823.504,1976825.9448
33,60383.68,1940965.6160000002
34,60524.799999999996,1908939.8399999999
35,60495.4,1908444.68
36,60082.918,1894512.4991
37,60270.0,1892232.0
38,60270.0,1874827.5
39,60294.304000000004,1845928.5744
40,59522.75,1826558.8375000001
41,60172.0,1804975.7999999998
42,60242.56,1776725.216
