,price,amount
0,62730.0,17163604.5
1,63138.0,11876072.1
2,63012.54,7802929.316000001
3,61954.8,5313110.02
4,62771.616,5209428.720000001
5,62589.03600000001,5100392.816000001
6,62934.0,5040828.3
7,62721.942,4883948.5504
8,62083.116,4573273.6146
9,62526.0,4490838.0
10,61659.0,4449966.3
11,61354.020000000004,4438121.233
12,62679.0,4421081.7
13,62526.0,4220872.8
14,62834.346000000005,3324922.5402
15,62046.294,3236565.8479
16,62934.0,3108754.5
17,62828.226,2993518.5837
18,63333.33,2742954.1040000003
19,61659.0,2663850.15
20,62903.4,2646321.37
21,62735.814,2588651.9016
22,62347.5,2345427.375
23,62634.833999999995,2324919.0686999997
24,61354.020000000004,2295362.1599999997
25,61354.020000000004,2264865.603
26,62424.0,2231780.4
27,63250.200000000004,2171962.2600000002
28,62220.0,2116639.0
29,62526.0,2084445.2
30,62016.0,2078022.4
31,61668.99600000001,2060409.5242
32,61455.0,2044764.5000000002
33,62220.0,2006595.0000000002
34,63189.0,1953593.25
35,62105.76,1944458.28
36,62768.25,1930369.8375
37,63240.0,1873764.0
38,63012.54,1853310.0
39,62980.92,1844167.7820000001
40,62531.916000000005,1822744.0456
41,62977.86,1789497.369
